Area	EdgeDistance_Error	Density_In_Ellipse	Ramanujan	Red_MEAN
1188.802956	0.004725	0.975524	1.046627	31.507697
1732.848104	0.005123	0.996129	0.93997	33.354222
1034.368313	0.003001	0.990804	0.957425	27.361973
1878.946489	0.002371	0.997708	0.926384	23.596626
1629.492618	0.00257	0.99613	0.93844	29.329764
1258.232297	0.006773	0.976764	1.024052	30.555398
1680.345491	0.01633	0.970654	1.050712	30.874542
431.346436	0.005369	0.972075	0.990928	18.035195
1844.278609	0.002006	0.99498	0.941903	33.794716
591.252912	0.010047	0.964577	1.054046	21.637975
446.693334	0.005143	0.986249	0.979416	20.063011
1494.738827	0.00142	0.995224	0.967351	32.845473
1526.648627	0.000966	0.998095	0.936993	29.45975
1511.134219	0.001005	0.998511	0.934503	32.34075
43.304002	0.058756	0.746567	0.871394	12.860026
1427.328058	0.004062	0.991403	0.990863	25.644608
1743.323022	0.003314	0.989422	1.011783	35.359114
1811.410129	0.002342	0.996305	0.943898	39.828534
1924.504129	0.002016	0.995617	0.966775	37.102398
1519.581983	0.008024	0.993785	0.934644	36.51823
1044.946958	0.003705	0.993405	0.969657	32.479965
1061.774738	0.00174	0.998388	0.940426	28.521612
1624.201007	0.004107	0.994909	0.943762	20.937989
1345.7177	0.001082	0.998702	0.913304	30.482701
1750.819142	0.003482	0.997913	0.931093	31.337549
924.412684	0.001947	0.997145	0.923648	28.033528
2284.96649	0.001581	0.996894	0.958572	33.29901
729.739064	0.002954	0.993655	0.903561	30.264291
1662.987618	0.003279	0.994897	0.955543	37.094993
1671.771228	0.003373	0.998354	0.926085	21.403591
1013.199873	0.002047	0.995072	0.934569	27.415518
1496.246317	0.000694	0.998181	0.924542	26.65454
1445.577113	0.001871	0.997009	0.931435	26.868358
1051.369347	0.003149	0.995895	0.942334	24.97732
692.230153	0.001585	0.99353	0.950927	20.347376
1439.270484	0.001861	0.998223	0.955607	30.052165
1766.515984	0.002078	0.997062	0.955811	32.305285
1222.611278	0.003647	0.993399	0.945269	1.115942
2686.811377	0.000943	0.996586	0.934128	23.159902
1083.003778	0.002617	0.995537	0.954671	16.57573
1894.926452	0.001645	0.997784	0.930425	18.9586
1039.650175	0.003334	0.996677	0.939391	17.716456
1332.348949	0.002177	0.996473	0.954251	16.232291
839.946955	0.001182	0.994625	0.960363	21.624886
1076.271754	0.001672	0.995794	0.942339	20.22817
1343.934538	0.001547	0.997705	0.94363	26.232388
1526.511811	0.003036	0.995895	0.954596	16.811713
897.824022	0.003308	0.993279	0.97932	19.636188
2134.1604	0.003859	0.993315	0.9999	20.960471
1341.602236	0.001027	0.995931	0.968347	21.476498
1517.458501	0.008003	0.997241	0.935787	29.817684
509.031439	0.002212	0.990116	0.956754	21.205514
1075.587563	0.001376	0.997292	0.9352	28.675058
1891.967408	0.003604	0.993577	0.940634	24.036884
1384.449379	0.0013	0.997405	0.922426	30.16808
772.45612	0.001804	0.994366	0.980783	23.88963
1802.242431	0.001357	0.997908	0.941139	22.469819
